test error,nr of evaluations, tree size
0.17317073170731712,9413,61
0.11097560975609755,7871,97
0.10622710622710618,9481,69
0.0781440781440782,9045,83
0.06593406593406592,8185,75
0.10989010989010994,8310,87
0.0927960927960928,7980,91
0.10989010989010994,9484,69
0.0647130647130647,9023,95
0.11111111111111116,9663,53
0.08780487804878045,9550,79
0.10121951219512193,8263,95
0.1416361416361417,9011,91
0.09157509157509158,9310,83
0.1135531135531136,8358,99
0.09645909645909645,8962,65
0.07570207570207566,7681,93
0.12210012210012211,8853,83
0.08913308913308915,9174,79
0.1074481074481074,9908,59
0.1097560975609756,8860,91
0.11951219512195121,7280,89
0.1074481074481074,9794,63
0.08669108669108672,8523,85
0.0781440781440782,9383,99
0.09523809523809523,8956,81
0.07448107448107444,8613,83
0.0781440781440782,8731,95
0.11599511599511603,10025,57
0.12210012210012211,8692,89
0.07195121951219507,9646,85
0.07317073170731703,8583,79
0.10622710622710618,8678,81
0.12332112332112333,8378,95
0.08791208791208793,8540,83
0.10256410256410253,9495,91
0.08424908424908428,8734,95
0.11599511599511603,8809,47
0.07326007326007322,9123,79
0.10378510378510375,8615,93
0.10609756097560974,8669,77
0.11585365853658536,8614,19
0.08180708180708185,8960,99
0.10378510378510375,8688,75
0.07326007326007322,8886,89
0.10256410256410253,8644,87
0.0647130647130647,8280,81
0.09523809523809523,8681,89
0.09645909645909645,8481,95
0.11843711843711846,8656,91
0.13658536585365855,8284,95
0.08780487804878045,8093,81
0.1294261294261294,9243,77
0.1135531135531136,8387,97
0.10622710622710618,9584,59
0.12332112332112333,8455,99
0.10134310134310132,8787,91
0.09645909645909645,8637,91
0.0927960927960928,8985,61
0.08302808302808307,8838,91
0.09024390243902436,8828,91
0.0841463414634146,8854,91
0.0927960927960928,9304,55
0.11111111111111116,8063,97
0.09157509157509158,8590,97
0.12332112332112333,8253,97
0.10378510378510375,8690,93
0.09523809523809523,9056,83
0.1135531135531136,8603,95
0.1135531135531136,9822,15
0.06951219512195117,8554,81
0.09268292682926826,9081,85
0.13186813186813184,7951,89
0.12576312576312576,8179,89
0.08180708180708185,8379,99
0.07570207570207566,9174,99
0.11843711843711846,9163,91
0.08791208791208793,8483,95
0.1074481074481074,9009,15
0.0781440781440782,8504,99
0.09390243902439022,9093,69
0.09634146341463412,9127,83
0.11111111111111116,8042,89
0.09645909645909645,8607,97
0.08669108669108672,8487,99
0.07936507936507942,8610,81
0.11477411477411481,7870,99
0.08180708180708185,8384,75
0.11111111111111116,8326,99
0.10866910866910862,8663,97
0.10609756097560974,9437,85
0.0865853658536585,8449,95
0.10866910866910862,9076,97
0.09645909645909645,9259,79
0.11233211233211238,8981,89
0.11843711843711846,8941,93
0.08180708180708185,9144,79
0.09768009768009767,8978,81
0.09768009768009767,7606,99
0.08669108669108672,9090,59
