test error,nr of evaluations, tree size
0.09556938850238006,774586,99
0.08055657268399852,818996,91
0.07435897435897432,842889,83
0.07286708165507139,820740,69
0.08971072867081653,736190,97
0.08205128205128209,797606,99
0.09483705602343462,868508,75
0.07726107652874403,923904,93
0.09340659340659341,801403,95
0.08751373123398021,855916,73
0.0820212376418894,820590,95
0.0776556776556776,842985,59
0.08421823507872572,901014,73
0.0732332478945441,841496,99
0.08424908424908428,800002,89
0.07799340900768947,769982,99
0.08751373123398021,845817,81
0.07948717948717954,761859,95
0.07433174661296227,853682,77
0.11790552911021601,916450,79
0.08937728937728939,860118,93
0.09007689491028925,790874,85
0.08641523251556205,877376,83
0.08351648351648355,750819,93
0.0856829000366166,820701,93
0.07762724276821675,798859,89
0.07435897435897432,938346,73
0.08971072867081653,909780,53
0.10325887953130719,853664,43
0.0871794871794872,911109,71
