test error,nr of evaluations, tree size
0.08536585365853655,736096,97
0.1121951219512195,874635,85
0.0781440781440782,900009,73
0.07570207570207566,939991,93
0.1001221001221001,860724,97
0.08424908424908428,910098,67
0.0781440781440782,864583,83
0.07936507936507942,888952,63
0.07448107448107444,816632,91
0.09890109890109888,810913,73
0.06951219512195117,770513,91
0.12073170731707317,836847,95
0.08058608058608063,816023,95
0.07448107448107444,919194,93
0.0781440781440782,901277,87
0.08791208791208793,861826,95
0.08180708180708185,855512,85
0.0927960927960928,914294,95
0.08058608058608063,863861,73
0.07448107448107444,927124,85
