test error,nr of evaluations, tree size
0.09634146341463412,848023,99
0.08536585365853655,911620,63
0.09035409035409037,870406,65
0.08913308913308915,811367,97
0.06593406593406592,937221,69
0.07692307692307687,906912,91
0.05982905982905984,834223,75
0.09768009768009767,823737,77
0.0781440781440782,816157,97
0.08302808302808307,874993,79
0.07195121951219507,1004182,53
0.09390243902439022,760933,89
0.09157509157509158,824629,95
0.08669108669108672,944607,73
0.08669108669108672,823056,93
0.06715506715506714,884089,79
0.0854700854700855,943624,27
0.08669108669108672,868225,89
0.07326007326007322,876672,89
0.08180708180708185,829942,99
