test error,nr of evaluations, tree size
0.08536585365853655,736096,97
0.1121951219512195,874635,85
0.0781440781440782,900009,73
0.07570207570207566,939991,93
0.1001221001221001,860724,97
0.08424908424908428,910098,67
0.0781440781440782,864583,83
0.07936507936507942,888952,63
0.07448107448107444,816632,91
0.09890109890109888,810913,73
0.06951219512195117,770513,91
0.12073170731707317,836847,95
0.08058608058608063,816023,95
0.07448107448107444,919194,93
0.0781440781440782,901277,87
0.08791208791208793,861826,95
0.08180708180708185,855512,85
0.0927960927960928,914294,95
0.08058608058608063,863861,73
0.07448107448107444,927124,85
0.07560975609756093,835364,93
0.07195121951219507,779520,99
0.0781440781440782,902675,69
0.1001221001221001,930805,89
0.0854700854700855,856371,89
0.08669108669108672,930812,69
0.08424908424908428,851762,97
0.0854700854700855,755216,97
0.07936507936507942,901052,97
0.08058608058608063,951577,63
0.09634146341463412,848023,99
0.08536585365853655,911620,63
0.09035409035409037,870406,65
0.08913308913308915,811367,97
0.06593406593406592,937221,69
0.07692307692307687,906912,91
0.05982905982905984,834223,75
0.09768009768009767,823737,77
0.0781440781440782,816157,97
0.08302808302808307,874993,79
0.07195121951219507,1004182,53
0.09390243902439022,760933,89
0.09157509157509158,824629,95
0.08669108669108672,944607,73
0.08669108669108672,823056,93
0.06715506715506714,884089,79
0.0854700854700855,943624,27
0.08669108669108672,868225,89
0.07326007326007322,876672,89
0.08180708180708185,829942,99
0.0841463414634146,970229,73
0.06707317073170727,915902,99
0.07570207570207566,896890,83
0.09523809523809523,880907,77
0.07570207570207566,876709,67
0.08302808302808307,876816,85
0.07936507936507942,913840,45
0.11477411477411481,957916,59
0.07692307692307687,843799,89
0.07936507936507942,822127,83
0.06829268292682922,943045,67
0.08536585365853655,880356,93
0.07692307692307687,801289,97
0.08180708180708185,932498,51
0.08058608058608063,971802,49
0.07936507936507942,911794,79
0.10256410256410253,892035,91
0.06715506715506714,858698,87
0.09645909645909645,859283,51
0.1074481074481074,845843,91
