parameters,mean test error,var test error, mean nr of evaluations,var nr evaluations,average tree size,var tree size,best test error
100_100_1.0_0.5_1.0_5_100_10_0.5_0.5,0.08911161737991005,0.00018352549386266694,295866.31,391687081.0938999,78.94,453.6363999999999,0.06227106227106227
100_100_1.0_0.5_0.9_5_100_10_0.5_0.5,0.09252984152313012,0.0002922322361569659,255246.5,205644381.05,81.2,233.16,0.07753357753357748
100_100_1.0_0.5_0.5_5_100_10_0.5_0.5,0.09741235647275916,0.00010591617599206914,155308.5,93692910.05,78.6,491.84000000000003,0.08119658119658124
100_100_1.0_0.5_0.1_5_100_10_0.5_0.5,0.09527750400233623,0.00041578012085846064,37796.7,15517344.009999996,80.6,843.04,0.07626601586333126
100_100_1.0_0.5_1.0_20_100_10_0.5_0.5,0.0965560469340957,0.00035136647996266963,83339.23,21331574.377100002,75.76,628.8624000000001,0.0647130647130647
100_100_1.0_0.5_1.0_10_100_10_0.5_0.5,0.09301643884570712,0.0002535090604074116,154677.66,98001157.36439998,76.52,544.0896,0.06349206349206349
100_100_1.0_0.5_1.0_5_100_10_0.5_0.5,0.09023532564995979,0.00020806395904974945,297521.33,266068509.6011,77.66,477.1244000000001,0.06349206349206349
100_100_1.0_0.5_1.0_5_100_15_0.5_0.5,0.08530278073902237,8.554358196852989e-05,397215.56,391840587.2064001,79.0,352.0,0.06837606837606836
----
#num generations in realga is 10 for the following
100_100_1.0_0.5_1.0_20_10_15_0.5_0.5,0.09707014834531613,0.00019947039107343366,116384.96,48269200.278400004,77.76,505.10240000000005,0.07321537522879806
100_100_1.0_0.5_1.0_5_10_15_0.5_0.5,0.08720666358250252,0.00010183944328269707,214918.2,241185930.56000003,83.64,231.27040000000005,0.07138499084807814

100_100_1.0_0.5_0.1_5_100_15_0.5_0.5,0.09359170910390421,0.0002404259525318594,47907.8,20589122.619999997,77.46,381.6684,0.06715506715506714
100_100_1.0_0.5_0.5_5_100_15_0.5_0.5,0.08933104023347922,0.00017507892148986863,203302.0,157225571.06,81.6,306.76,0.05982905982905984
100_100_1.0_0.5_0.9_5_100_15_0.5_0.5,0.08458115191042019,0.000147413604152078,361135.7,427800608.2900001,77.48,391.0496,0.05128205128205132
100_100_1.0_0.5_1.0_5_100_15_0.5_0.5,0.090771484375,0.00014607667922973631,406523.0,118200550.2,74.0,352.2,0.075927734375

# Low amount of repeats so less reliable means
100_100_1.0_0.5_1.0_5_100_20_0.5_0.5,0.09356832578309089,0.00024090666950772193,573526.7,747798106.41,86.4,157.64000000000001,0.0707748627211714
100_100_1.0_0.5_0.9_5_100_20_0.5_0.5,0.09039521254286355,0.000185362816525027,525371.6,462021737.23999995,74.6,252.64000000000001,0.07020757020757018
100_100_1.0_0.5_0.5_5_100_20_0.5_0.5,0.08996488224676145,0.00018076992600198443,300286.7,177607683.81,78.2,232.15999999999994,0.07565588773642462
100_100_1.0_0.5_0.1_5_100_20_0.5_0.5,0.1065669602582354,0.0008642200161597686,67820.7,53269828.41,63.0,1030.4,0.07875457875457881

# 0.9 real crossover
100_100_1.0_0.5_1.0_5_100_25_0.9_0.5,0.08363073274827214,5.819470333689745e-05,813940.6,2515851944.373334,84.4,298.7066666666666,0.06627608934456242
100_100_1.0_0.5_1.0_5_100_25_0.9_0.1,0.08582751111128993,9.266492493713183e-05,766838.1,1283972750.89,85.73333333333333,212.92888888888896,0.07067008421823506
100_100_1.0_0.5_1.0_5_100_25_0.9_1.0,0.08166502808392224,4.125649855978435e-05,882059.0666666667,2512101141.662223,76.53333333333333,328.71555555555557,0.06737458806298058
100_100_1.0_0.5_1.0_5_100_25_0.9_0.9,0.08447268261255812,4.9433134671115784e-05,859930.7,1898438124.4099996,84.86666666666666,171.18222222222226,0.0714024166971805
100_100_1.0_0.5_1.0_5_100_25_1.0_1.0,0.08190874994243723,4.873493283663012e-05,876811.1333333333,2040669367.9155552,79.0,360.0,0.0714285714285714

#0.5 real crossover
100_100_1.0_0.5_1.0_5_100_25_0.5_0.1,0.0864132697929842,7.949345513442804e-05,491780.8,1529933666.3599997,82.93333333333334,405.72888888888883,0.07216117216117213
100_100_1.0_0.5_1.0_5_100_25_0.5_0.5,0.08645008313627867,0.00011038034957534942,649381.1,1630277768.6233332,82.86666666666666,325.3155555555556,0.0695715854998169
100_100_1.0_0.5_1.0_5_100_25_0.5_0.9,0.08513152253174221,9.060880512160863e-05,836875.3666666667,2792609979.3655553,83.2,200.89333333333335,0.07286708165507139
100_100_1.0_0.5_1.0_5_100_25_0.5_1.0,0.08618161040716879,4.704039412728868e-05,890467.1666666666,1997273242.0055554,79.13333333333334,345.0488888888889,0.0765567765567765


100_100_1.0_0.5_0.5_5_100_25_0.5_0.5,0.08549776030552302,6.321359379375732e-05,333749.5333333333,607284936.5822222,78.6,313.1733333333333,0.06520146520146519
