test error,nr of evaluations, tree size
0.12804878048780488,10100,29
0.09512195121951217,10021,99
0.10622710622710618,9924,89
0.1282051282051282,9909,47
0.12698412698412698,10074,73
0.09035409035409037,10100,35
0.11843711843711846,10079,77
0.07936507936507942,10100,25
0.08424908424908428,9856,91
0.11599511599511603,10074,77
0.12560975609756098,9336,95
0.1097560975609756,10100,13
0.10500610500610497,10095,65
0.1367521367521367,10071,81
0.12454212454212454,10100,35
0.12210012210012211,10085,49
0.1001221001221001,10050,75
0.1001221001221001,9988,81
0.09768009768009767,9971,51
0.09523809523809523,10013,85
0.10609756097560974,10050,91
0.1146341463414634,9957,99
0.10989010989010994,10000,89
0.10989010989010994,10100,41
0.06959706959706957,10068,59
0.1074481074481074,10081,87
0.09645909645909645,10100,33
0.07448107448107444,9715,99
0.09157509157509158,10093,39
0.10866910866910862,9670,87
0.09878048780487803,10010,41
0.07560975609756093,10078,69
0.1135531135531136,10060,87
0.13797313797313793,10059,57
0.11721611721611724,9959,93
0.09768009768009767,9764,83
0.1001221001221001,10100,21
0.11477411477411481,10060,57
0.07570207570207566,10077,65
0.10134310134310132,10030,63
0.08292682926829265,9981,81
0.12195121951219512,9700,95
0.15262515262515264,10098,33
0.09401709401709402,10047,77
0.10378510378510375,10059,63
0.08669108669108672,10022,67
0.09035409035409037,9988,91
0.1294261294261294,10036,89
0.07081807081807079,10071,71
0.08302808302808307,10067,63
0.06585365853658531,10064,67
0.08292682926829265,10074,65
0.1428571428571429,10073,59
0.09890109890109888,9838,87
0.1562881562881563,10100,19
0.11111111111111116,9324,99
0.1562881562881563,10100,27
0.0854700854700855,10077,51
0.08424908424908428,10061,63
0.09645909645909645,10097,43
0.08780487804878045,9553,93
0.08536585365853655,10060,37
0.07692307692307687,10090,51
0.1562881562881563,10084,81
0.1562881562881563,9979,69
0.1208791208791209,10036,55
0.07692307692307687,9962,85
0.07448107448107444,10051,55
0.09523809523809523,10065,59
0.11233211233211238,10029,73
0.06585365853658531,9737,99
0.12195121951219512,10056,85
0.11111111111111116,10004,85
0.11843711843711846,10062,71
0.07326007326007322,10098,59
0.1282051282051282,10063,87
0.09523809523809523,10055,65
0.1208791208791209,10100,17
0.12332112332112333,10100,17
0.09523809523809523,10051,73
0.1426829268292683,10022,97
0.12195121951219512,10063,37
0.1294261294261294,10100,21
0.07448107448107444,10073,71
0.072039072039072,9943,93
0.08180708180708185,10030,57
0.08058608058608063,9746,93
0.1294261294261294,9884,53
0.09523809523809523,10069,45
0.09401709401709402,10100,39
0.10243902439024388,10088,53
0.11585365853658536,9954,91
0.1428571428571429,10074,87
0.08913308913308915,9887,83
0.12454212454212454,9503,93
0.09645909645909645,9668,69
0.08424908424908428,10036,97
0.08791208791208793,9904,95
0.1208791208791209,9767,97
0.12576312576312576,10011,75
