test error,nr of evaluations, tree size
0.07682926829268288,289421,59
0.08780487804878045,296823,93
0.09035409035409037,302619,61
0.09035409035409037,281254,91
0.07448107448107444,304556,51
0.10622710622710618,302384,73
0.10866910866910862,276750,99
0.08424908424908428,295110,71
0.07692307692307687,288359,95
0.07936507936507942,292832,99
0.06707317073170727,296713,91
0.06463414634146336,276096,95
0.09523809523809523,283254,85
0.0854700854700855,308633,53
0.09890109890109888,279394,77
0.0854700854700855,312116,75
0.08180708180708185,289077,95
0.13308913308913306,298063,81
0.1001221001221001,296689,91
0.11965811965811968,316977,21
0.1146341463414634,315897,81
0.10731707317073169,312127,51
0.11721611721611724,267283,99
0.08058608058608063,310655,69
0.09523809523809523,303441,95
0.08913308913308915,316809,81
0.0781440781440782,327326,17
0.06959706959706957,281528,95
0.08180708180708185,282438,95
0.0647130647130647,315229,33
0.0817073170731707,311465,99
0.09268292682926826,288439,93
0.08302808302808307,300032,73
0.10989010989010994,287527,95
0.10134310134310132,306752,85
0.08180708180708185,281276,93
0.0854700854700855,281981,95
0.09157509157509158,290110,85
0.07081807081807079,305762,33
0.08913308913308915,331729,19
0.07439024390243898,279207,99
0.09878048780487803,288006,89
0.1001221001221001,299529,77
0.08302808302808307,286423,65
0.09645909645909645,297869,89
0.08180708180708185,300644,35
0.10500610500610497,308683,99
0.1208791208791209,286111,97
0.06715506715506714,297901,89
0.09035409035409037,302893,57
0.07804878048780484,325274,29
0.06829268292682922,308287,63
0.07692307692307687,291230,71
0.07692307692307687,290421,31
0.08302808302808307,318093,69
0.10500610500610497,276785,87
0.09768009768009767,301426,71
0.09401709401709402,331854,15
0.09157509157509158,318671,93
0.10622710622710618,318259,39
0.06951219512195117,306505,67
0.09146341463414631,315887,51
0.09890109890109888,304578,91
0.08913308913308915,260575,97
0.10866910866910862,252813,91
0.10989010989010994,305930,59
0.09890109890109888,277145,99
0.06349206349206349,293599,97
0.09768009768009767,290374,83
0.10378510378510375,302846,89
0.08292682926829265,270568,97
0.10609756097560974,290195,75
0.11965811965811968,290618,83
0.11477411477411481,294003,95
0.07692307692307687,309870,69
0.10134310134310132,295485,99
0.07081807081807079,313047,73
0.11477411477411481,311184,95
0.08669108669108672,308540,87
0.08302808302808307,304252,75
0.09268292682926826,272134,99
0.09024390243902436,270004,91
0.08791208791208793,281822,93
0.08180708180708185,292711,77
0.06715506715506714,266671,95
0.07936507936507942,285183,99
0.09523809523809523,293036,71
0.06959706959706957,310152,99
0.10622710622710618,303123,69
0.09035409035409037,293830,93
0.08902439024390241,303887,99
0.09268292682926826,315119,49
0.09035409035409037,311395,65
0.08302808302808307,297624,75
0.09645909645909645,332308,69
0.10134310134310132,325187,91
0.08180708180708185,271637,97
0.08302808302808307,291882,99
0.0854700854700855,322545,61
0.08302808302808307,281377,97
